abs time (s)	Fx	Fy	Fz	Mx	My	Mz	Ax	Ay	Fx	Fy	Fz	Mx	My	Mz	Ax	Ay	Fx	Fy	Fz	Mx	My	Mz	Ax	Ay
	N	N	N	N m	N m	N m	m	m	N	N	N	N m	N m	N m	m	m	N	N	N	N m	N m	N m	m	m
0.039583	-1.201990	1.957731	-0.861786	0.342766	0.344038	0.226807	0.000000	0.000000	-3.783988	-0.579642	-0.207087	0.439580	-0.032314	-0.533923	0.000000	0.000000	0.124278	3.343020	2.550708	-0.319710	-0.141273	-0.558568	0.055386	-0.125342
0.040625	-1.507165	1.957731	0.664093	0.258843	-0.143328	0.226807	0.215825	0.389769	-3.783988	-0.770377	-3.821011	0.692525	-0.080500	-0.520190	0.000000	0.000000	0.047984	3.495607	-1.063216	-0.249014	-0.001523	-0.546361	0.000000	0.000000
0.041667	-1.125696	2.262907	-0.556610	0.252129	-0.028124	0.179123	0.000000	0.000000	-3.669547	-0.884818	-5.427199	0.699734	-0.169661	-0.517139	0.000000	0.000000	0.124278	3.457461	-1.866310	-0.085991	-0.189459	-0.550938	0.000000	0.000000
0.042708	-1.278284	2.110319	0.358917	0.507256	-0.191698	0.289749	0.534102	1.413295	-3.860282	-0.846671	-3.821011	0.215475	-0.181678	-0.514087	0.000000	0.000000	-0.066457	3.457461	-1.063216	0.074627	-0.105104	-0.537205	0.000000	0.000000
0.043750	-1.125696	2.110319	0.358917	0.339409	-0.188341	0.247788	0.524749	0.945648	-3.707694	-0.808524	-2.214823	-0.108166	-0.268436	-0.485095	0.000000	0.000000	0.009837	3.533754	-1.063216	0.069821	0.092445	-0.549412	0.000000	0.000000
0.044792	-1.430871	2.034025	0.358917	0.676781	0.018568	0.272583	-0.051733	1.885619	-3.783988	-0.770377	-1.813275	-0.030260	-0.225057	-0.504932	0.000000	0.000000	-0.028310	3.533754	0.944520	-0.331726	-0.054515	-0.575352	0.057717	-0.351212
0.045833	-0.973108	2.034025	0.053741	-0.414222	-0.131579	0.177216	2.448370	-7.707704	-3.669547	-0.884818	-1.411728	0.378497	0.023081	-0.480518	0.000000	0.000000	-0.066457	3.495607	-4.275592	-0.249014	0.280381	-0.547886	0.000000	0.000000
0.046875	-1.354577	1.957731	-0.251434	0.007073	-0.193377	0.268768	0.000000	0.000000	-3.707694	-0.846671	-3.017917	0.536712	-0.364807	-0.514087	0.000000	0.000000	0.124278	3.457461	-2.267857	0.154937	-0.141273	-0.550938	0.000000	0.000000
0.047917	-1.278284	2.262907	-1.166962	0.252129	-0.138293	0.247788	0.000000	0.000000	-3.783988	-0.884818	-4.222558	0.298187	-0.128686	-0.527820	0.000000	0.000000	-0.066457	3.343020	0.141426	-0.319710	-0.056918	-0.538731	0.402461	-2.260623
0.048958	-1.125696	1.805143	1.274445	0.094353	-0.028124	0.274490	0.022068	0.074035	-3.707694	-0.770377	-3.419464	0.451596	-0.316622	-0.495776	0.000000	0.000000	-0.028310	3.495607	-1.063216	-0.088395	0.282784	-0.601292	0.000000	0.000000
