NO_OF_FRAMES	960
NO_OF_CAMERAS	7
NO_OF_MARKERS	21
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-10-29, 11:10:21	2461.84570916
DATA_INCLUDED	3D
MARKER_NAMES	head	C7	L5	AcrL	EllL	HaL	FingerL	TrochL	KnL	MalLatL	MalMedL	ToeL	AcrR	EllR	HaR	FingerR	TrochR	KnR	MalLatR	MalMedR	ToeR
Frame	Time	head X	head Y	head Z	C7 X	C7 Y	C7 Z	L5 X	L5 Y	L5 Z	AcrL X	AcrL Y	AcrL Z	EllL X	EllL Y	EllL Z	HaL X	HaL Y	HaL Z	FingerL X	FingerL Y	FingerL Z	TrochL X	TrochL Y	TrochL Z	KnL X	KnL Y	KnL Z	MalLatL X	MalLatL Y	MalLatL Z	MalMedL X	MalMedL Y	MalMedL Z	ToeL X	ToeL Y	ToeL Z	AcrR X	AcrR Y	AcrR Z	EllR X	EllR Y	EllR Z	HaR X	HaR Y	HaR Z	FingerR X	FingerR Y	FingerR Z	TrochR X	TrochR Y	TrochR Z	KnR X	KnR Y	KnR Z	MalLatR X	MalLatR Y	MalLatR Z	MalMedR X	MalMedR Y	MalMedR Z	ToeR X	ToeR Y	ToeR Z	
31	0.12500	838.855	326.598	1379.900	1078.574	349.546	1270.366	0.000	0.000	0.000	1043.049	180.035	1242.879	1042.080	127.560	963.764	947.103	86.422	771.756	904.521	116.561	609.266	1026.215	186.437	822.970	1066.918	257.613	370.971	1212.896	289.031	48.298	0.000	0.000	0.000	1053.730	337.090	1.717	1023.149	517.616	1232.405	1040.740	577.935	963.849	936.635	593.127	771.158	868.047	558.584	622.606	1063.137	505.619	829.340	849.834	494.956	401.610	0.000	0.000	0.000	772.831	427.247	72.276	618.790	474.395	59.442
32	0.12917	836.193	326.390	1379.741	1076.172	349.670	1270.255	0.000	0.000	0.000	1040.783	180.360	1242.569	1039.494	128.234	963.421	944.180	87.195	771.379	901.662	117.110	609.575	1024.440	186.800	823.030	1065.176	257.625	371.326	1213.031	289.228	48.788	0.000	0.000	0.000	1053.668	337.073	1.776	1020.566	517.668	1232.463	1038.151	578.167	963.884	934.432	593.456	770.822	866.130	558.980	622.098	1060.117	505.917	828.950	848.803	495.203	400.958	0.000	0.000	0.000	768.654	427.576	72.769	614.479	474.308	60.791
33	0.13333	833.511	326.321	1379.521	1073.857	349.797	1270.305	0.000	0.000	0.000	1038.415	180.605	1241.962	1036.826	128.686	962.714	942.054	88.119	770.887	901.916	117.312	610.730	1021.990	187.102	822.857	1063.508	257.605	371.071	1211.915	288.458	50.185	0.000	0.000	0.000	1053.619	336.727	1.415	1018.007	517.792	1232.382	1035.685	578.715	964.020	932.150	594.044	770.807	864.133	559.485	622.108	1057.066	506.556	828.582	847.508	494.902	399.832	0.000	0.000	0.000	765.052	427.815	73.372	610.193	474.632	62.273
34	0.13750	830.846	326.460	1379.347	1071.153	349.986	1270.192	0.000	0.000	0.000	1036.058	180.906	1241.540	1034.425	129.080	962.094	939.736	89.107	770.522	896.797	119.239	609.594	1019.563	187.553	822.737	1061.313	257.679	371.365	1208.101	284.278	54.064	0.000	0.000	0.000	1053.461	336.670	1.476	1015.447	517.974	1232.420	1033.127	579.214	964.261	929.814	594.563	770.716	862.057	560.225	621.775	1053.794	506.889	828.213	846.266	494.810	398.827	0.000	0.000	0.000	761.072	428.163	73.596	606.323	474.708	63.282
35	0.14167	828.243	326.318	1379.049	1068.828	350.147	1270.141	0.000	0.000	0.000	1033.797	181.065	1241.098	1031.777	129.538	961.564	937.110	89.972	770.274	894.088	120.294	609.552	1017.470	187.950	822.635	1059.633	257.563	371.296	1206.963	283.114	55.843	0.000	0.000	0.000	1053.448	336.582	1.508	1012.778	518.168	1232.264	1030.524	579.682	964.305	927.466	594.952	770.559	860.043	560.795	621.433	1051.084	507.475	827.895	844.794	494.193	397.306	0.000	0.000	0.000	757.634	428.516	73.945	602.702	474.322	64.437
36	0.14583	825.465	326.092	1378.670	1065.880	350.449	1270.167	0.000	0.000	0.000	1031.419	181.330	1240.675	1029.158	130.026	961.239	934.855	90.838	770.091	891.569	121.548	608.986	1014.865	188.479	822.594	1058.049	257.691	370.796	1206.050	282.213	56.974	0.000	0.000	0.000	1053.503	336.673	1.449	1010.161	518.308	1232.380	1027.906	580.171	964.456	925.122	595.381	770.479	858.153	561.138	621.470	1047.643	507.948	827.706	843.473	494.139	396.280	0.000	0.000	0.000	754.053	428.948	72.421	599.253	474.336	65.403
37	0.15000	822.670	325.819	1377.983	1063.642	350.590	1270.088	0.000	0.000	0.000	1028.955	181.484	1240.122	1026.650	130.744	960.749	932.453	91.816	769.669	888.770	122.444	608.623	1012.284	188.857	822.936	1056.372	257.469	370.796	1205.953	282.117	57.373	0.000	0.000	0.000	1053.409	336.474	1.600	1007.484	518.590	1232.465	1025.353	580.798	964.449	922.718	595.802	770.421	855.991	561.563	621.189	1044.403	508.686	827.688	842.245	494.643	395.756	0.000	0.000	0.000	751.270	428.923	71.465	595.980	474.250	66.320
38	0.15417	820.175	325.892	1377.838	1061.135	350.866	1270.182	0.000	0.000	0.000	1026.577	181.646	1239.713	1024.316	131.217	960.531	929.526	92.669	769.556	885.981	123.674	608.084	1009.825	189.375	823.380	1054.713	257.674	371.157	1206.178	282.550	57.809	0.000	0.000	0.000	1053.308	336.560	1.393	1004.840	518.652	1232.590	1022.742	581.371	964.622	920.282	596.347	770.487	853.816	562.034	621.113	1041.336	509.446	827.659	840.833	494.800	395.319	0.000	0.000	0.000	748.450	428.967	70.837	593.120	474.147	66.779
39	0.15833	817.273	325.497	1377.492	1058.437	351.083	1269.872	0.000	0.000	0.000	1024.330	181.818	1239.398	1021.940	131.840	960.203	927.302	93.423	769.245	883.613	124.839	607.757	1007.406	190.031	823.687	1052.803	257.376	371.264	1205.860	282.505	58.211	0.000	0.000	0.000	1053.250	336.502	1.507	1002.080	518.895	1232.741	1020.009	581.845	964.922	917.846	596.711	770.485	851.835	562.798	621.098	1038.051	509.754	827.191	839.665	495.342	395.127	0.000	0.000	0.000	745.544	428.789	70.982	590.202	474.102	67.380
40	0.16250	814.697	325.690	1377.371	1056.161	351.052	1269.924	0.000	0.000	0.000	1021.827	182.021	1239.224	1019.281	132.383	959.985	924.751	94.394	768.952	881.420	125.731	607.710	1004.796	190.569	824.020	1051.044	257.519	371.559	1206.006	282.858	58.363	0.000	0.000	0.000	1053.260	336.419	1.506	999.376	519.154	1233.154	1018.105	582.195	965.364	915.400	597.008	770.481	849.685	562.866	621.205	1034.905	510.200	826.944	838.346	495.767	394.822	0.000	0.000	0.000	742.566	428.545	70.499	587.669	473.963	68.051
